时间,站名,水位,流量
2023-01-24,迁江,02-04 08:00,59.670,503.000
2023-01-24,武宣,02-04 08:00,51.770,1520.000
2023-01-24,大湟江口(二),02-04 08:00,20.570,1920.000
2023-01-24,梧州（四）,02-04 08:00,2.100,1820.000
2023-01-24,高要,02-04 08:00,0.570,-433.000
2023-01-24,柳州,02-04 08:00,77.000,143.000
2023-01-24,对亭,02-04 08:00,71.570,20.500
2023-01-24,太平,02-04 08:00,33.970,72.900
2023-01-24,金鸡（二）,02-04 08:00,27.350,28.000
2023-01-24,南宁（三）,02-04 08:00,67.050,383.000
2023-01-24,贵港,02-04 08:00,31.240,282.000
2023-01-24,石角,02-04 08:00,0.620,320.000
2023-01-24,天河(二),02-04 08:00,0.860,2360.000
2023-01-24,冯马庙(二),02-04 08:00,0.440,-
2023-01-24,大虎,02-04 08:00,0.300,-
